Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note,AccountId
09-04-2024,IE00B3WJKG14,MANUAL,EUR,23.152256959182573,-0.129577,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
30-01-2024,IE00B3WJKG14,MANUAL,EUR,26.16294280780702,-0.114666,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
09-01-2024,IE00B3WJKG14,MANUAL,EUR,20.32258720083458,-0.147619,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
10-10-2023,IE00B3WJKG14,MANUAL,EUR,18.982776294308962,-0.158038,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
10-07-2023,IE00B3WJKG14,MANUAL,EUR,18.903949034953403,-0.158697,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
12-04-2023,IE00B3WJKG14,MANUAL,EUR,16.337466712411572,-0.183627,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
09-01-2023,IE00B3WJKG14,MANUAL,EUR,14.174478379195646,-0.211648,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
11-10-2022,IE00B3WJKG14,MANUAL,EUR,14.927898251445518,-0.200966,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
30-09-2022,IE00B3WJKG14,MANUAL,EUR,15.64653231771692,2.556477,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-09-2022,IE00B3WJKG14,MANUAL,EUR,17.187446289230348,2.32728,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-08-2022,IE00B3WJKG14,MANUAL,EUR,17.6361322022106,2.268071,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
08-07-2022,IE00B3WJKG14,MANUAL,EUR,15.715939629837235,-0.190889,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-07-2022,IE00B3WJKG14,MANUAL,EUR,15.07612311463658,2.653202,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
30-05-2022,IE00B3WJKG14,MANUAL,EUR,16.30948886061911,2.45256,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
02-05-2022,IE00B3WJKG14,MANUAL,EUR,17.460607777565826,2.290871,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
08-04-2022,IE00B3WJKG14,MANUAL,EUR,17.046423092221147,-0.17599,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-04-2022,IE00B3WJKG14,MANUAL,EUR,18.316058237738773,2.183876,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-03-2022,IE00B3WJKG14,MANUAL,EUR,17.206491665175438,2.324704,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-02-2022,IE00B3WJKG14,MANUAL,EUR,17.87806178568763,2.237379,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
10-01-2022,IE00B3WJKG14,MANUAL,EUR,17.6034643617864,-0.170421,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
28-12-2021,IE00B3WJKG14,MANUAL,EUR,19.494003888079078,2.051913,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-12-2021,IE00B3WJKG14,MANUAL,EUR,19.000001425000107,2.105263,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-11-2021,IE00B3WJKG14,MANUAL,EUR,17.466920926812293,2.290043,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
08-10-2021,IE00B3WJKG14,MANUAL,EUR,16.04252338197783,-0.187003,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-10-2021,IE00B3WJKG14,MANUAL,EUR,16.54828437730254,2.417169,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-09-2021,IE00B3WJKG14,MANUAL,EUR,16.957235970536804,2.358875,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
02-08-2021,IE00B3WJKG14,MANUAL,EUR,16.295217190802326,2.454708,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
06-07-2021,IE00B3WJKG14,MANUAL,EUR,15.447355412753337,-0.194208,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-07-2021,IE00B3WJKG14,MANUAL,EUR,15.698371490187537,2.548035,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
31-05-2021,IE00B3WJKG14,MANUAL,EUR,14.355409800294717,2.786406,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
03-05-2021,IE00B3WJKG14,MANUAL,EUR,14.687975982221673,2.723316,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
07-04-2021,IE00B3WJKG14,MANUAL,EUR,14.347819848773979,-0.209091,sell,0,3€ fee,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-04-2021,IE00B3WJKG14,MANUAL,EUR,14.284826585776454,2.800174,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-03-2021,IE00B3WJKG14,MANUAL,EUR,13.665584693998518,2.927061,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
01-02-2021,IE00B3WJKG14,MANUAL,EUR,13.661575452881227,2.92792,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
23-12-2020,IE00B3WJKG14,MANUAL,EUR,13.429871727937657,2.978435,buy,0,,a2ff6e71-4427-427c-95e3-a66e11841f2d
